title,link
"UPSC Prelims Result 2018 Declared @ Upsc.gov.in, Upsconline.nic.in; What's Next",https://www.ndtv.com/jobs/upsc-result-2018-prelims-declared-upsc-gov-in-upsconline-nic-in-whats-next-1883211
UPSC Prelims Result 2018 Published; Check Your Results Here,https://www.ndtv.com/jobs/upsc-prelims-result-2018-check-csp-preliminary-results-upsc-gov-in-pib-nic-in-1882824
UPSC Prelims Result 2018: No Confirmed Date Yet; May Be Announced Soon,https://www.ndtv.com/jobs/upsc-prelims-result-2018-no-confirmed-date-yet-may-be-announced-soon-1882641
UPSC Civil Services Prelims Result 2018 Expected This Week @ Upsc.gov.in,https://www.ndtv.com/jobs/upsc-civil-services-prelims-result-2018-expected-this-week-upsc-gov-in-how-to-check-1880638
UPSC Prelims Results 2018 Expected Soon @ Upsc.gov.in; Check Details Here,https://www.ndtv.com/jobs/upsc-civil-services-prelims-results-2018-upsc-gov-in-date-website-official-notification-details-1879881
UPSC Civil Services 2018 Preliminary Exam Result Expected In July At Upsc.gov.in,https://www.ndtv.com/jobs/upsc-civil-services-2018-preliminary-exam-result-expected-at-upsc-gov-in-1878402
Don't Appoint Police Officer As Director General Of Police: Supreme Court,https://www.ndtv.com/india-news/supreme-court-of-india-tells-states-and-union-territories-not-to-appoint-police-officer-as-acting-dg-1876992
"UPSC Notifies Recruitment For Lecturer Posts Under DTTE, Delhi",https://www.ndtv.com/jobs/upsc-recruitment-2018-for-lecturer-post-apply-at-upsc-gov-in-1872877
UPSC To Conduct Civil Services Main Exam In September-October; Time Table Released,https://www.ndtv.com/jobs/upsc-civil-services-main-exam-time-table-1871562
"UPSC Declares NDA, NA (I) 2018 Written Exam Result",https://www.ndtv.com/jobs/upsc-nda-na-i-2018-result-declared-know-how-to-check-1868466
"Private Sector Professionals Can Be Bureaucrats, 10 Senior Posts Open",https://www.ndtv.com/india-news/lateral-entry-to-bureaucracy-a-reality-with-openings-in-10-ministries-1865251
UPSC Notifies Recruitment For Physics/ Mathematics/ Engineering Graduates Under DGCA,https://www.ndtv.com/jobs/upsc-recruitment-2018-for-graduates-know-how-to-apply-1864659
UPSC Releases Admit Card For IES/ ISS Exam 2018,https://www.ndtv.com/jobs/upsc-admit-card-for-ies-iss-exam-2018-released-1864639
"UPSC NDA, NA (II) 2018 Notification Released",https://www.ndtv.com/education/upsc-nda-na-ii-2018-notification-check-at-upsc-gov-in-1863860
UPSC Civil Services Prelims 2018: Read Expert Review Here,https://www.ndtv.com/education/upsc-civil-services-prelims-2018-read-expert-review-here-1862337
"UPSC Prelims Result 2018 Declared @ Upsc.gov.in, Upsconline.nic.in; What's Next",https://www.ndtv.com/jobs/upsc-result-2018-prelims-declared-upsc-gov-in-upsconline-nic-in-whats-next-1883211
UPSC Prelims Result 2018 Published; Check Your Results Here,https://www.ndtv.com/jobs/upsc-prelims-result-2018-check-csp-preliminary-results-upsc-gov-in-pib-nic-in-1882824
UPSC Prelims Result 2018: No Confirmed Date Yet; May Be Announced Soon,https://www.ndtv.com/jobs/upsc-prelims-result-2018-no-confirmed-date-yet-may-be-announced-soon-1882641
UPSC Civil Services Prelims Result 2018 Expected This Week @ Upsc.gov.in,https://www.ndtv.com/jobs/upsc-civil-services-prelims-result-2018-expected-this-week-upsc-gov-in-how-to-check-1880638
UPSC Prelims Results 2018 Expected Soon @ Upsc.gov.in; Check Details Here,https://www.ndtv.com/jobs/upsc-civil-services-prelims-results-2018-upsc-gov-in-date-website-official-notification-details-1879881
UPSC Civil Services 2018 Preliminary Exam Result Expected In July At Upsc.gov.in,https://www.ndtv.com/jobs/upsc-civil-services-2018-preliminary-exam-result-expected-at-upsc-gov-in-1878402
Don't Appoint Police Officer As Director General Of Police: Supreme Court,https://www.ndtv.com/india-news/supreme-court-of-india-tells-states-and-union-territories-not-to-appoint-police-officer-as-acting-dg-1876992
"UPSC Notifies Recruitment For Lecturer Posts Under DTTE, Delhi",https://www.ndtv.com/jobs/upsc-recruitment-2018-for-lecturer-post-apply-at-upsc-gov-in-1872877
UPSC To Conduct Civil Services Main Exam In September-October; Time Table Released,https://www.ndtv.com/jobs/upsc-civil-services-main-exam-time-table-1871562
"UPSC Declares NDA, NA (I) 2018 Written Exam Result",https://www.ndtv.com/jobs/upsc-nda-na-i-2018-result-declared-know-how-to-check-1868466
"Private Sector Professionals Can Be Bureaucrats, 10 Senior Posts Open",https://www.ndtv.com/india-news/lateral-entry-to-bureaucracy-a-reality-with-openings-in-10-ministries-1865251
UPSC Notifies Recruitment For Physics/ Mathematics/ Engineering Graduates Under DGCA,https://www.ndtv.com/jobs/upsc-recruitment-2018-for-graduates-know-how-to-apply-1864659
UPSC Releases Admit Card For IES/ ISS Exam 2018,https://www.ndtv.com/jobs/upsc-admit-card-for-ies-iss-exam-2018-released-1864639
"UPSC NDA, NA (II) 2018 Notification Released",https://www.ndtv.com/education/upsc-nda-na-ii-2018-notification-check-at-upsc-gov-in-1863860
UPSC Civil Services Prelims 2018: Read Expert Review Here,https://www.ndtv.com/education/upsc-civil-services-prelims-2018-read-expert-review-here-1862337
